Start	Finish	Task	CPU Decision	Frequency
3680.000000	_______	T[0][461]	DelayedArrival	____
3680.000000	3681.000000	____	Sleep	____
3681.000000	3682.000000	T[1][262]	Execute()	1.000000
3682.000000	_______	T[1][264]	DelayedArrival	____
3682.000000	3686.000000	____	Sleep	____
3686.000000	3688.000000	T[0][460]	Execute()	1.000000
3688.000000	_______	T[0][462]	DelayedArrival	____
3688.000000	3693.000000	____	Sleep	____
3693.000000	3694.000000	T[1][263]	Execute()	1.000000
3694.000000	3695.000000	T[0][461]	Execute()	1.000000
3695.000000	3702.000000	____	Sleep	____
3696.000000	_______	T[0][463]	DelayedArrival	____
3696.000000	_______	T[1][265]	DelayedArrival	____
3702.000000	3702.500000	T[0][462]	Execute()	1.000000
3702.500000	3709.000000	____	Sleep	____
3703.000000	_______	T[0][464]	DelayedArrival	____
3709.000000	3709.500000	T[1][264]	Execute()	1.000000
3709.500000	3710.000000	T[0][463]	Execute()	1.000000
3710.000000	_______	T[1][266]	DelayedArrival	____
3710.000000	3710.500000	T[0][463]	Execute()	1.000000
3710.500000	3718.000000	____	Sleep	____
3711.000000	_______	T[0][465]	DelayedArrival	____
3718.000000	3719.000000	T[0][464]	Execute()	1.000000
3719.000000	3723.000000	____	Sleep	____
3719.500000	_______	T[0][466]	DelayedArrival	____
3723.000000	3723.500000	T[1][265]	Execute()	1.000000
3723.500000	3726.000000	____	Sleep	____
3724.000000	_______	T[1][267]	DelayedArrival	____
3726.000000	3727.000000	T[0][465]	Execute()	1.000000
3727.000000	3733.000000	____	Sleep	____
3727.500000	_______	T[0][467]	DelayedArrival	____
3733.000000	3734.000000	T[0][466]	Execute()	1.000000
3734.000000	3735.000000	____	Sleep	____
3735.000000	3735.500000	T[1][266]	Execute()	1.000000
3735.500000	3736.000000	T[3][8]	Execute()	1.000000
3736.000000	_______	T[0][468]	DelayedArrival	____
3736.000000	3738.000000	T[0][467]	Execute()	1.000000
3738.000000	_______	T[1][268]	DelayedArrival	____
3738.000000	3738.500000	T[1][267]	Execute()	1.000000
3738.500000	3751.000000	____	Sleep	____
3744.000000	_______	T[0][469]	DelayedArrival	____
3751.000000	3752.000000	T[0][468]	Execute()	1.000000
3752.000000	_______	T[0][470]	DelayedArrival	____
3752.000000	_______	T[1][269]	DelayedArrival	____
3752.000000	3752.500000	T[0][469]	Execute()	1.000000
3752.500000	3753.500000	T[1][268]	Execute()	1.000000
3753.500000	3758.000000	____	Sleep	____
3758.000000	3760.000000	T[3][8]	Execute()	1.000000
3760.000000	_______	T[0][471]	DelayedArrival	____
3760.000000	3762.000000	T[0][470]	Execute()	1.000000
3762.000000	3766.000000	____	Sleep	____
3766.000000	_______	T[1][270]	DelayedArrival	____
3766.000000	3768.000000	T[3][8]	Execute()	1.000000
3768.000000	_______	T[0][472]	DelayedArrival	____
3768.000000	3769.000000	T[0][471]	Execute()	1.000000
3769.000000	3771.500000	T[3][8]	Execute()	1.000000
3771.500000	3779.000000	____	Sleep	____
3772.500000	_______	T[0][473]	DelayedArrival	____
3779.000000	3780.000000	T[1][269]	Execute()	1.000000
3780.000000	_______	T[1][271]	DelayedArrival	____
3780.000000	_______	T[3][10]	DelayedArrival	____
3780.000000	3782.000000	____	Sleep	____
3782.000000	3783.000000	T[0][472]	Execute()	1.000000
3783.000000	3790.000000	____	Sleep	____
3783.500000	_______	T[0][474]	DelayedArrival	____
3790.000000	3792.000000	T[0][473]	Execute()	1.000000
3792.000000	_______	T[0][475]	DelayedArrival	____
3792.000000	3793.000000	____	Sleep	____
3793.000000	3793.500000	T[1][270]	Execute()	1.000000
3793.500000	3798.000000	____	Sleep	____
3794.000000	_______	T[1][272]	DelayedArrival	____
3798.000000	3800.000000	T[0][474]	Execute()	1.000000
3800.000000	_______	T[0][476]	DelayedArrival	____
3800.000000	3805.000000	____	Sleep	____
3805.000000	3805.500000	T[1][271]	Execute()	1.000000
3805.500000	3806.500000	T[0][475]	Execute()	1.000000
3806.500000	3814.000000	____	Sleep	____
3808.000000	_______	T[0][477]	DelayedArrival	____
3808.000000	_______	T[1][273]	DelayedArrival	____
3814.000000	3814.500000	T[0][476]	Execute()	1.000000
3814.500000	3821.000000	____	Sleep	____
3815.000000	_______	T[0][478]	DelayedArrival	____
3821.000000	3821.500000	T[1][272]	Execute()	1.000000
3821.500000	3822.000000	T[0][477]	Execute()	1.000000
3822.000000	_______	T[1][274]	DelayedArrival	____
3822.000000	3830.000000	____	Sleep	____
3823.000000	_______	T[0][479]	DelayedArrival	____
3830.000000	3832.000000	T[0][478]	Execute()	1.000000
3832.000000	_______	T[0][480]	DelayedArrival	____
3832.000000	3835.000000	____	Sleep	____
3835.000000	3836.000000	T[1][273]	Execute()	1.000000
3836.000000	_______	T[1][275]	DelayedArrival	____
3836.000000	3838.000000	____	Sleep	____
3838.000000	3840.000000	T[0][479]	Execute()	1.000000
3840.000000	_______	T[0][481]	DelayedArrival	____
3840.000000	3846.000000	____	Sleep	____
3846.000000	3846.500000	T[0][480]	Execute()	1.000000
3846.500000	3849.000000	____	Sleep	____
3847.000000	_______	T[0][482]	DelayedArrival	____
3849.000000	3849.500000	T[1][274]	Execute()	1.000000
3849.500000	3854.000000	____	Sleep	____
3850.000000	_______	T[1][276]	DelayedArrival	____
3854.000000	3854.500000	T[0][481]	Execute()	1.000000
3854.500000	3861.000000	____	Sleep	____
3855.500000	_______	T[0][483]	DelayedArrival	____
3861.000000	3862.000000	T[1][275]	Execute()	1.000000
